"# All of the Stars, opening 8 bars (0 to 25.6 s at 75 bpm), Sankyo 30 tooth scale"
"# assumed: rotation 28.0 s, cylinder dia 13.0 mm, tooth pitch 1.5 mm, pin dia 0.5 mm, min same-tooth spacing 0.8 mm (0.55 s). Measure your movement and regenerate in Comb Compare."
"# 89 pins. 29 repeated notes thinned for spacing, 7 bass notes dropped (listed at end)."
pin,time_s,tooth_from_bass,tooth_note,folded_from,angle_deg,axial_mm,arc_from_prev_same_tooth_mm
1,0.2,6,F4,,2.57,7.5,
2,0.2,16,F5,,2.57,22.5,
3,0.6,8,A4,,7.71,10.5,
4,0.6,20,A5,,7.71,28.5,
5,0.8,11,C5,,10.29,15.0,
6,0.8,16,F5,,10.29,22.5,0.88
7,1.0,7,G4,,12.86,9.0,
8,1.0,18,G5,,12.86,25.5,
9,1.2,5,E4,,15.43,6.0,
10,1.2,15,E5,,15.43,21.0,
11,1.6,11,C5,,20.57,15.0,1.17
12,2.8,3,C4,,36.0,3.0,
13,2.8,11,C5,,36.0,15.0,1.75
14,3.0,4,D4,,38.57,4.5,
15,3.0,13,D5,,38.57,18.0,
16,3.2,5,E4,,41.14,6.0,2.92
17,3.2,8,A4,,41.14,10.5,3.79
18,3.2,15,E5,,41.14,21.0,2.92
19,4.0,4,D4,,51.43,4.5,1.46
20,4.0,7,G4,,51.43,9.0,4.38
21,4.0,10,B4,,51.43,13.5,
22,4.0,13,D5,,51.43,18.0,1.46
23,4.8,3,C4,,61.71,3.0,2.92
24,4.8,6,F4,,61.71,7.5,6.71
25,4.8,8,A4,,61.71,10.5,2.33
26,4.8,11,C5,,61.71,15.0,2.92
27,5.4,3,C4,,69.43,3.0,0.88
28,5.4,11,C5,,69.43,15.0,0.88
29,5.6,6,F4,,72.0,7.5,1.17
30,5.6,16,F5,,72.0,22.5,7.0
31,6.0,5,E4,,77.14,6.0,4.08
32,6.0,15,E5,,77.14,21.0,4.08
33,6.4,7,G4,,82.29,9.0,3.5
34,6.4,11,C5,,82.29,15.0,1.46
35,7.4,5,E4,,95.14,6.0,2.04
36,7.4,15,E5,,95.14,21.0,2.04
37,7.6,7,G4,,97.71,9.0,1.75
38,7.6,18,G5,,97.71,25.5,9.63
39,8.0,11,C5,,102.86,15.0,2.33
40,8.0,15,E5,,102.86,21.0,0.88
41,8.2,5,E4,,105.43,6.0,1.17
42,8.6,7,G4,,110.57,9.0,1.46
43,8.6,11,C5,,110.57,15.0,0.88
44,8.6,15,E5,,110.57,21.0,0.88
45,8.6,18,G5,,110.57,25.5,1.46
46,9.4,5,E4,,120.86,6.0,1.75
47,9.4,15,E5,,120.86,21.0,1.17
48,9.6,7,G4,,123.43,9.0,1.46
49,9.6,10,B4,,123.43,13.5,8.17
50,9.8,4,D4,,126.0,4.5,8.46
51,9.8,13,D5,,126.0,18.0,8.46
52,11.2,7,G4,,144.0,9.0,2.33
53,11.2,10,B4,,144.0,13.5,2.33
54,11.2,11,C5,,144.0,15.0,3.79
55,12.8,1,F3,,164.57,0.0,
56,13.0,7,G4,,167.14,9.0,2.63
57,13.2,8,A4,,169.71,10.5,12.25
58,13.8,7,G4,,177.43,9.0,1.17
59,14.0,5,E4,,180.0,6.0,6.71
60,14.4,3,C4,C3,185.14,3.0,13.13
61,15.6,3,C4,,200.57,3.0,1.75
62,15.8,4,D4,,203.14,4.5,8.75
63,16.0,5,E4,,205.71,6.0,2.92
64,16.0,8,A4,A3,205.71,10.5,4.08
65,16.8,4,D4,,216.0,4.5,1.46
66,16.8,2,G3,,216.0,1.5,
67,16.8,3,C4,,216.0,3.0,1.75
68,17.6,3,C4,,226.29,3.0,1.17
69,17.6,1,F3,,226.29,0.0,7.0
70,17.6,8,A4,A3,226.29,10.5,2.33
71,18.2,3,C4,,234.0,3.0,0.88
72,18.4,6,F4,,236.57,7.5,18.67
73,18.8,5,E4,,241.71,6.0,4.08
74,19.2,2,G3,,246.86,1.5,3.5
75,19.2,3,C4,,246.86,3.0,1.46
76,20.2,5,E4,,259.71,6.0,2.04
77,20.4,7,G4,,262.29,9.0,9.63
78,20.8,3,C4,,267.43,3.0,2.33
79,20.8,5,E4,,267.43,6.0,0.88
80,22.0,5,E4,,282.86,6.0,1.75
81,22.4,2,G3,,288.0,1.5,4.67
82,22.4,3,C4,,288.0,3.0,2.33
83,22.6,4,D4,,290.57,4.5,8.46
84,24.0,4,D4,,308.57,4.5,2.04
85,24.0,7,G4,,308.57,9.0,5.25
86,24.0,11,C5,,308.57,15.0,18.67
